id,price,total_sqft,site_location,size,availability
107,17.19,670,Alandi Road,1,0
148,19.9,670,Alandi Road,1,0
298,25,1260,Alandi Road,2,0
525,30,2350,Alandi Road,4,0
675,32,566,Alandi Road,1,1
707,32.25,1210,Alandi Road,2,1
797,33.28,2710,Alandi Road,3,0
827,33.82,1065,Alandi Road,2,0
967,35,674,Alandi Road,2,0
971,35,1733,Alandi Road,4,0
1164,36.8,1550,Alandi Road,3,0
1217,37,710,Alandi Road,1,0
1261,37.84,1090,Alandi Road,2,0
1462,39.07,1250,Alandi Road,2,0
1483,39.5,1246,Alandi Road,2,0
1524,40,650,Alandi Road,1,0
1565,40,650,Alandi Road,1,1
1615,40,1098,Alandi Road,2,0
1702,40.32,670,Alandi Road,1,0
1762,40.98,1300,Alandi Road,3,0
1770,41,1120,Alandi Road,2,0
1779,41,825,Alandi Road,2,0
1866,42,1012,Alandi Road,2,0
1890,42,730,Alandi Road,1,0
2050,43,660,Alandi Road,1,0
2190,44,650,Alandi Road,1,1
2405,45,525,Alandi Road,1,0
2459,45,840,Alandi Road,2,0
2479,45,950,Alandi Road,2,0
2504,45,580,Alandi Road,1,0
2532,45.2,550,Alandi Road,1,0
2576,45.91,1080,Alandi Road,2,0
2729,46.5,720,Alandi Road,1,0
2730,46.5,630,Alandi Road,2,0
2746,46.6,500,Alandi Road,1,1
2852,47.24,650,Alandi Road,1,0
2878,47.6,746,Alandi Road,1,1
2954,48,650,Alandi Road,1,0
3178,49.82,800,Alandi Road,2,0
3257,50,550,Alandi Road,1,0
3286,50,1020,Alandi Road,3,1
3294,50,750,Alandi Road,1,0
3486,51,720,Alandi Road,1,0
3503,51,400,Alandi Road,1,1
3511,51,967,Alandi Road,2,1
3520,51.15,1130,Alandi Road,2,1
3603,52,1150,Alandi Road,2,0
3699,52.43,1500,Alandi Road,3,1
3840,53.56,845,Alandi Road,2,1
3872,54,1130,Alandi Road,2,1
3962,54.79,550,Alandi Road,1,1
4055,55,580,Alandi Road,2,1
